gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
785004201	aae308f4-9f9c-4cdd-b4ef-c026f48be551	4997745a-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Sphecodes			GENUS	Sphecodes Latreille, 1804	Sphecodes		CA	Hope	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.3833	-121.4333							1931-08-01T00:00:00	1	8	1931	1351262		PRESERVED_SPECIMEN	KU	SEMC	1117825				CC_BY_4_0		Nottingham, J			2023-11-06T16:13:37.634Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
785003845	aae308f4-9f9c-4cdd-b4ef-c026f48be551	4992461b-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Sphecodes			GENUS	Sphecodes Latreille, 1804	Sphecodes		CA	Keremeos;  8 km N	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.27	-119.83			580.0	0.0			1988-07-01T00:00:00	1	7	1988	1351262		PRESERVED_SPECIMEN	KU	SEMC	1118284				CC_BY_4_0		Michener, Charles			2023-11-06T16:13:38.549Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
785003844	aae308f4-9f9c-4cdd-b4ef-c026f48be551	4992429f-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Sphecodes			GENUS	Sphecodes Latreille, 1804	Sphecodes		CA	Keremeos;  8 km N	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.27	-119.83			580.0	0.0			1988-07-01T00:00:00	1	7	1988	1351262		PRESERVED_SPECIMEN	KU	SEMC	1118283				CC_BY_4_0		Michener, Charles			2023-11-06T16:13:39.670Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
785003843	aae308f4-9f9c-4cdd-b4ef-c026f48be551	49923f1c-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Sphecodes			GENUS	Sphecodes Latreille, 1804	Sphecodes		CA	Keremeos;  8 km N	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.27	-119.83			580.0	0.0			1988-07-01T00:00:00	1	7	1988	1351262		PRESERVED_SPECIMEN	KU	SEMC	1118282				CC_BY_4_0		Michener, Charles			2023-11-06T16:13:38.477Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
785003786	aae308f4-9f9c-4cdd-b4ef-c026f48be551	49915022-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Sphecodes			GENUS	Sphecodes Latreille, 1804	Sphecodes		CA	Keremeos;  8 km N	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.27	-119.83							1988-07-01T00:00:00	1	7	1988	1351262		PRESERVED_SPECIMEN	KU	SEMC	1118225				CC_BY_4_0		Michener, Charles			2023-11-06T16:13:37.630Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
785003698	aae308f4-9f9c-4cdd-b4ef-c026f48be551	49903747-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Sphecodes			GENUS	Sphecodes Latreille, 1804	Sphecodes		CA	Keremeos;  8 km N	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.27	-119.83			580.0	0.0			1988-07-01T00:00:00	1	7	1988	1351262		PRESERVED_SPECIMEN	KU	SEMC	1118137				CC_BY_4_0		Michener, Charles			2023-11-06T16:13:38.482Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
684780421	aae308f4-9f9c-4cdd-b4ef-c026f48be551	47a7b414-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Halictus	Halictus confusus	confusus	SUBSPECIES	Halictus confusus confusus	Halictus (Pachyceble) confusus confusus		CA	Richmond	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.1667	-122.9667							1982-05-31T00:00:00	31	5	1982	11210581	1353363	PRESERVED_SPECIMEN	KU	SEMC	1081664				CC_BY_4_0		Mackenzie, K			2023-11-06T16:13:38.672Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
684780420	aae308f4-9f9c-4cdd-b4ef-c026f48be551	47a7b0a6-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Halictus	Halictus confusus	confusus	SUBSPECIES	Halictus confusus confusus	Halictus (Pachyceble) confusus confusus		CA	Richmond	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.1667	-122.9667							1982-05-27T00:00:00	27	5	1982	11210581	1353363	PRESERVED_SPECIMEN	KU	SEMC	1081669				CC_BY_4_0		Mackenzie, K			2023-11-06T16:13:37.628Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
658794058	10e44c48-0839-4a20-86d5-f0e23ae2e366	658794058	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Halictus	Halictus confusus		SPECIES	Halictus confusus Smith, 1853	Halictus confusus arapahonum	author date not provided	US	Pleasant Valley	Washington	PRESENT		1e26a630-7203-11dc-a0d8-b8a03c50a862	48.849	-122.587							1977-07-05T00:00:00	5	7	1977	1353363	1353363	PRESERVED_SPECIMEN	USDA-ARS	BBSL	BBSL205047				CC_BY_4_0		T.L. Whitworth			2023-09-07T02:41:58.460Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
658794057	10e44c48-0839-4a20-86d5-f0e23ae2e366	658794057	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Halictus	Halictus confusus		SPECIES	Halictus confusus Smith, 1853	Halictus confusus arapahonum	author date not provided	US	Pleasant Valley	Washington	PRESENT		1e26a630-7203-11dc-a0d8-b8a03c50a862	48.849	-122.587							1977-07-05T00:00:00	5	7	1977	1353363	1353363	PRESERVED_SPECIMEN	USDA-ARS	BBSL	BBSL205046				CC_BY_4_0		T.L. Whitworth			2023-09-07T02:41:56.167Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
